computer_name	subject_group	subject_number	subject_sex	subject_age	asrt_type	PCode	session	epoch	block	trial	frame_rate	frame_time	frame_sd	stimulus_color	trial_type_pr	triplet_type_hl	RT	error	stimulus	response	repetition	trill
Laposka		54	female	20	noASRT	noPattern	1	1	2	1	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,5367109000001165	0	1	1	none	none
Laposka		54	female	20	noASRT	noPattern	1	1	2	2	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3637933999998495	0	2	2	none	none
Laposka		54	female	20	noASRT	noPattern	1	1	2	3	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,364553800000067	0	1	1	False	True
Laposka		54	female	20	noASRT	noPattern	1	1	2	4	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,308789299999944	0	1	1	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	2	5	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,35692010000002483	1	2	3	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	2	6	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,31687840000017786	0	3	3	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	2	7	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3567628999999215	0	4	4	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	2	8	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,25450230000001284	0	4	4	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	2	9	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3628363000000263	0	2	2	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	2	10	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,4049073999999564	0	4	4	False	True
Laposka		54	female	20	noASRT	noPattern	1	1	2	11	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,24484149999989313	0	4	4	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	2	12	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,2684213	0	2	2	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	2	13	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3488783999998759	0	1	1	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	2	14	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,308874699999933	0	3	3	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	2	15	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,40485100000000784	0	1	1	False	True
Laposka		54	female	20	noASRT	noPattern	1	1	2	16	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,316912400000092	0	3	3	False	True
Laposka		54	female	20	noASRT	noPattern	1	1	2	17	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,24476049999998395	0	3	3	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	2	18	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,38977599999998347	0	2	2	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	2	19	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,4424887000000126	0	3	3	False	True
Laposka		54	female	20	noASRT	noPattern	1	1	2	20	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,4042673999999806	0	4	4	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	2	21	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,2368157999999312	0	4	4	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	2	22	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,32458520000000135	0	2	2	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	2	23	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3006043000000318	1	4	3	False	True
Laposka		54	female	20	noASRT	noPattern	1	1	2	24	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,33262420000005477	0	2	2	False	True
